wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
22%,Port/Sherry,Spain,"Only 100 cases of this vintage-designated oloroso were made, and now it smells mature, nutty and oily. A full, elegant palate shows the right weight and acidic cut, while salty flavors of peanut and caramel finish long, nutty and a touch hot due to 22% abv. ",Bodegas Hidalgo 1986 Oloroso Single Vintage Single Vineyard Sherry (Jerez),92,155,Andalucia,Sherry
15.5%,Port/Sherry,Spain,"Intense, well-directed aromas are staunch, woody and suggest turpentine before pulling back. A lemony palate is loaded with citric acidity, which creates an electric mouthfeel. Nutty, citric and zesty on the finish, this is a superb artisan fino with a high level of complexity. ",González Byass NV Fino Dos Palmas Sherry (Jerez),92,45,Andalucia,Sherry
18%,Port/Sherry,Spain,"Smoky campfire aromas come with notes of maple and molasses. This friendly, well-balanced Cream tastes of chocolate, figs and dates. The finish also tastes chocolaty, while vanilla and caramel notes make it all the more lovable. ",González Byass NV Solera 1847 Cream Sherry (Jerez),92,26,Andalucia,Sherry
20%,Port/Sherry,Spain,"Angular, pinched and austere on the nose, this aged dry oloroso also gives off scents of pine resin, almonds and dried stone fruits. An almost chewy palate features integrated, not overt acidity, while round, nutty flavors of almond and caramel are complex and delicious. ",Bodegas Hidalgo NV Vinos Viejos de Hidalgo Oloroso Faraon 30 Years Old Sherry (Jerez),93,115,Andalucia,Sherry
18%,Port/Sherry,Spain,"This is another of Hidalgo's superb 30-year-old Sherries, and this example shows hazelnut, butterscotch and citrus aromas on a lifted, luxe nose. The mouthfeel is just right, with oily weight cut by sharp acidity. Flavors of apricot, orange peel, toffee and almond skins finish long and unwavering. ",Bodegas Hidalgo NV Vinos Viejos de Hidalgo Amontillado Napoleon 30 Years Old Sherry (Jerez),93,120,Andalucia,Sherry
21.5%,Port/Sherry,Spain,"Toffee and almond aromas are a touch aggressive and hot. Matching the nose, this is intense but still well balanced by core acidity. A giant heaping of rancio blends with flavors of almond skins, apricot and salt in front of a never-ending finish. ",González Byass NV Del Duque Vinum Optimum Rare Signatum Amontillado Sherry (Jerez),93,50,Andalucia,Sherry
20%,Port/Sherry,Spain,"Aromas of burnt orange and baking spices are upright and snappy for a Sherry that's fairly creamy. Fine acidity is what keeps this on an even keel and what gives lift to flavors of caramel, brown sugar and candied walnut. This is full and voluminous on the finish. ",González Byass NV Apostoles Vinum Optimum Rare Signatum Sherry (Jerez),93,50,Andalucia,Sherry
16%,Port/Sherry,Spain,"Gold in color and ideal on the nose courtesy of alluring walnut, nutmeg and briny aromas, this elevated fino is both crisp as well as viscous. Flavors of almond skins, saline and dried apricot finish with purity and supreme confidence. This is fino taken to the next level. ",González Byass NV Fino Tres Palmas Sherry (Jerez),93,74,Andalucia,Sherry
15.5%,Port/Sherry,Spain,"Raisin and more raisin aromas come with touches of cinnamon, caramel and molasses. This feels viscous but not gooey, and thus it's just right as P. X. goes. Flavors of caramel, fig and raisin finish with elegance and bolstering acidity. ",González Byass NV Noe Vinum Optimum Rare Signatum Pedro Ximénez (Jerez),94,50,Andalucia,Pedro Ximénez
19%,Port/Sherry,Spain,"This tawny tinted Palo Cortado will make a Sherry fanatic smile. Aromas of hazelnut, almond liqueur and toffee introduce an oily, creamy palate cut by a beam of blazing acidity. Briny apricot, persimmon and caramel flavors offer a dusting of cocoa in front of a long, classy, nutty finish. This has everything and lacks nothing. ",Bodegas Hidalgo NV Vinos Viejos de Hidalgo Palo Cortado Wellington 30 Years Old Sherry (Jerez),94,170,Andalucia,Sherry
20.5%,Port/Sherry,Spain,"Forget about Sherry styles, Matusalem operates in its own zone with its own rules. An intense, smoky nose shows charred barrel notes and prune aromas. A rich but snappy palate is not the least bit sticky, while deep flavors of chocolate, coffee, vanilla and molasses finish with grace. ",González Byass NV Matusalem Vinum Optimum Rare Signatum Sherry (Jerez),94,50,Andalucia,Sherry
15%,Port/Sherry,Spain,"Nothing besides glorious dried fig and raisin aromas are the greeting on this brown, lusty, sweet Sherry. Given the nose, it's no surprise that this is syrupy and rich in feel, although fine acidity creates impeccable balance. Flavors of caramel, toffee, salt, raisin and fig finish long, rich and chocolaty. ",Bodegas Hidalgo NV Vinos Viejos de Hidalgo Triana 30 Years Old Pedro Ximénez (Jerez),95,149,Andalucia,Pedro Ximénez
16.2%,Red,US,"This hyper-ripe wine hits it hard in terms of power and sheer strength of fruit, making for a big, slightly sweet and one-dimensional experience bordering on Port. It's to be enjoyed carefully. ",Mazzocco 2013 Sullivan Zinfandel (Dry Creek Valley),84,34,California,Zinfandel
14.2%,Red,US,"One of the most unusual wines you'll ever encounter, this is a field blend of a single vineyard block planted to 25 different varieties. It's a tawny-rose color, off dry and quite fruity, with suggestions of citrus, peaches, stone fruits and more. Though not fortified, it's almost Port-like in color and flavor. ",Maragas 2014 Tootsie Red (Oregon),86,20,Oregon,Red Blends
19.5%,Port/Sherry,Portugal,"Still young in color and fruit, this is packed with black fruits and only the lightest hints of wood aging. That makes the wine very different from other vintage Colheitas or aged tawnies, with a style that is ripe and still fresh. ",Quinta de la Rosa 2008 Colheita  (Port),87,35,Port,Port
20%,Port/Sherry,Portugal,"This year's dry conditions produced a fine crop of single quinta vintage Ports. That's perfect for the concentration in a Colheita tawny. This wine is rich, dense and with perfumed fruits that are still in evidence behind the old gold flavors of the wood aging. Drink now. ",Burmester 1989 Colheita Tawny  (Port),93,47,Port,Port
20%,Port/Sherry,Portugal,"Any vintage Colheita is ready to drink once it is bottled, but this wine is readier than most. It's at a perfect stage of development, on the dry side although with some fine dried apricot and raisin flavors. It is poised and elegant, a beautiful wine to drink now. ",Barros 1974 Colheita Tawny  (Port),93,175,Port,Port
20%,Port/Sherry,Portugal,"A 30-year-old tawny that shows great intensity and rich dried fruits and honey as well as the woody flavors from long aging in barrel. It's a very fine wine, dry in character with touches of bitter marmalade and finished with intense acidity. Like all tawnies, the wine is ready to drink. ",Quinta do Vallado NV 30 Years Old Tawny  (Port),94,142,Port,Port
20.5%,Port/Sherry,Portugal,"From a year in which only single quinta vintage Ports were produced, this is a hugely concentrated toffee and dried fruit wine. It is rich with sweetness and a dense texture that is balancing complex flavors against the drier wood-aging flavors. It has been bottled just at the right stage of its development, rich and dense. Drink this beautiful wine now. ",Kopke 1965 Special Edition Tawny  (Port),94,240,Port,Port
20.5%,Port/Sherry,Portugal,"A single vintage tawny, this is gorgeously nutty with dried fig and raisin flavors while keeping plenty of freshness and orange zest flavors. The wine is rich, full in the mouth, intense, hinting at the wood in which it was aged and bringing in spice and pepper as well as more aromatic fruits. Like all tawnies, it is ready to drink. ",Quinta do Noval 2000 Colheita Tawny  (Port),94,95,Port,Port
20%,Port/Sherry,Portugal,"Not one of the generally declared vintages for Port, this year produced some ripe, sweet single quinta vintages. It also was a good year for rich, sweet tawnies. This is ripe, toffee-like in character packed with ripe raisin and sultana flavors. It is a luxurious wine, of course ready to drink. ",Kopke 1978 Colheita Tawny  (Port),94,100,Port,Port
21.5%,Port/Sherry,Portugal,"This was a great vintage Port year, and this white Port, which was bottled in 2015, has hints of the firm tannins and structure that marked out the year. It also has preserved an amazing amount of freshness still suggesting orange marmalade flavors. These are backed up by the fine, concentrated old wood tastes. The wine is, of course, ready to drink. ",Kopke 1935 Colheita White  (Port),94,980,Port,Port
19.5%,Port/Sherry,Portugal,"Noval has often in the past released a Vintage Port in years when other producers hold back. And, as in the past, the release is justified. For this is an impressive, dense and seriously age-worthy Port. While it has plenty of perfumed jammy red fruits and balanced acidity, it is the dark tannic character that will sustain this wine for decades. It could be drunk now for its fruit, although that would be a shame. Better to wait until 2030 and longer. ",Quinta do Noval 2013 Vintage  (Port),95,85,Port,Port
20%,Port/Sherry,Portugal,"There is a great balance between acidity and impressively fresh fruit considering the age of this venerable Port. Of course there are many flavors from the wood aging, but they are combined with orange marmalade, fig and raisin flavors in a riot of complex flavors that have created a very great wine. It comes from a year that was not generally declared as a vintage. ",Kopke 1957 Colheita Tawny  (Port),95,375,Port,Port
20%,Port/Sherry,Portugal,"Old gold in color, this is a really mature Colheita from a great vintage Port year. It shows a firm structure that brings out its dry character along with its dense mature flavors, its spicy wood and its great concentration. As it develops in the glass, rich fruitiness comes through to add to the old wood flavors. This is a wine to savor slowly, a real meditation wine that demands attention. ",Cálem 1961 Colheita Tawny  (Port),95,320,Port,Port
20%,Port/Sherry,Portugal,"While not a declared vintage Port year, it did produce some impressive old tawnies, like this. It is such a balanced wine, fresh with ripe marmalade, raisin and old wood flavors. It has a wonderful milk chocolate aftertaste that is contrasted with its still-fresh acidity. Drink now. ",Kopke 1984 Colheita Tawny  (Port),95,74,Port,Port
20.5%,Port/Sherry,Portugal,"Bottled in 2015, this wine from a great Port vintage is dark in color and so concentrated. It is powered by intense acidity from the wood aging as much as any residual fruit. Spice, dried fruits and a perfect balance give this great wine elegance and surprising freshness. Drink now. ",Kopke 1966 Colheita Tawny  (Port),95,220,Port,Port
15.4%,Red,US,"Rich, thick, smoky and soft, this wine conjures all the adjectives that add up to brawny and big. This tastes akin to a Port with chocolate melted in. ",Pezzi King 2012 Zinfandel (Dry Creek Valley),85,25,California,Zinfandel
20%,Port/Sherry,Portugal,"This is an astonishing wine for its age. It shines with fruit and with rich toffee flavors that are balanced by acidity. It's a warm, ripe wine, intense and concentrated. The dryness of such a long wood aging (the wine was only bottled in 2015) is really only a background to the richness. ",Burmester 1952 Colheita Tawny  (Port),96,415,Port,Port
14.5%,Red,US,"The aroma is very ripe, almost like a Port wine. Flavors are deep and ripe, with a twinge of dried fruit, and the texture is appropriately firm and tannic. It's a bold, hearty and full-bodied Bordeaux-style blend. ",Naggiar 2012 La Boheme Estate Reserve Red (Sierra Foothills),86,46,California,Bordeaux-style Red Blend
18%,Port/Sherry,Spain,"This comes across wide and expansive as it lazily exudes oily aromas of hazelnut and toffee. A plump palate is not overly cutting or demanding, while flavors of lightly salted nuts and buttered toast end with toffee and peanut flavors. ",González Byass NV Alfonso Oloroso Seco Palomino (Jerez),90,26,Andalucia,Palomino
16.5%,Port/Sherry,Spain,"This amontillado smells complete, with a tight aromatic mix of raw wood, brine, citrus and dried stone fruits. The palate is racy, with razor-like acidity. Intense flavors of dried apricot, tart nectarine and almond skins finish full  and lasting, with cutting acidity. ",González Byass NV Viña AB Amontillado Seco Palomino (Jerez),90,26,Andalucia,Palomino
15.5%,Port/Sherry,Spain,"Pine resin and a light, oily brine character define the nose on this lithe, fresh fino. Crisp acidity and healthy weight mesh into balance on an easy-to-navigate palate. Flavors of almond, sea brine and toffee finish crisp. ",González Byass NV Fino Una Palma Sherry (Jerez),90,34,Andalucia,Sherry
